voxel,x,y,z,vision_target_correlation,vision_target_r2,vision_tuning_r2,visual_cortex,early_visual,higher_visual,V1,V2,V3,V4,imagery_target_correlation,imagery_target_r2,imagery_tuning_r2,vision_minus_imagery_target_r2,vision_minus_imagery_target_correlation
107,14,25,44,0.09396165826665537,-4.422986621367643,0.008828793224219726,True,False,True,False,False,False,False,0.07018262323442055,-7.809069412641415,0.004925600604064628,3.386082791273772,0.023779035032234816
108,14,25,45,0.37466859300323363,-6.5656172122415075,0.14037655458302273,True,False,True,False,False,False,False,-0.050775201510716704,-10.84357710150508,0.002578121088453888,4.277959889263572,0.4254437945139503
109,14,26,43,-0.10416506398927985,-3.683417284323406,0.010850360555890767,True,False,True,False,False,False,False,-0.02448513213301321,-10.071678884810574,0.0005995216955711161,6.3882616004871675,-0.07967993185626665
110,14,26,44,-0.04224361109182452,-11.098433576011463,0.0017845226780773197,True,False,True,False,False,False,False,0.5904435741620873,-2.7124250585870846,0.3486236142693002,-8.386008517424377,-0.6326871852539118
111,15,17,43,0.25197961142976044,-1.3384625532572487,0.06349372457629306,True,False,True,False,False,False,False,0.0945636649473658,-1.0906167338928663,0.00894228672827766,-0.24784581936438244,0.15741594648239465
112,15,17,44,0.10194799218701894,-14.671579735338947,0.010393393110964476,True,False,True,False,False,False,False,-0.16604427537369007,-22.91952420501716,0.027570701384373817,8.247944469678215,0.26799226756070904
113,15,17,45,-0.01568762649996327,-6.742735582627797,0.0002461016252023498,True,False,True,False,False,False,False,-0.17087283491023098,-13.784461728234252,0.029197525710259048,7.041726145606455,0.1551852084102677
114,15,17,46,0.18680376552280328,-3.2691165964765387,0.034895646813498465,True,False,True,False,False,False,False,-0.36572073600504856,-12.35835030771668,0.13375165674407444,9.08923371124014,0.5525245015278518
115,15,17,47,0.16236590997696104,-8.633735701513109,0.02636268872264662,True,False,True,False,False,False,False,-0.02747197518004769,-13.69203946730571,0.0007547094202931564,5.058303765792601,0.18983788515700872
116,15,17,48,0.11686962888791341,-3.2822221662275197,0.013658510156398605,True,False,True,False,False,False,False,-0.35164067085234724,-7.679081817748653,0.1236511613974888,4.396859651521133,0.46851029974026065
117,15,18,43,0.30376762746119107,-5.230495652324529,0.09227477149340096,True,False,True,False,False,False,False,0.314119577666901,-6.514783362811151,0.09867110907363226,1.2842877104866224,-0.010351950205709948
118,15,18,44,0.06376116367028786,-15.683054795863836,0.004065485992589237,True,False,True,False,False,False,False,0.41983165323390353,-5.270601893214819,0.17625861705711263,-10.412452902649017,-0.35607048956361564
119,15,18,45,0.05737262530128991,-3.67953787375878,0.0032916181339622116,True,False,True,False,False,False,False,0.09551366333655516,-5.8361382317341866,0.009122859883968801,2.1566003579754067,-0.038141038035265244
120,15,18,46,0.21478245251363334,-0.7127142239189102,0.04613150190777116,True,False,True,False,False,False,False,0.5377774572563453,-1.5644271310293747,0.2892045935331003,0.8517129071104645,-0.3229950047427119
121,15,18,47,0.13654849059698204,-6.185217456074145,0.018645490284314094,True,False,True,False,False,False,False,0.12085743768478956,-5.5840232747727,0.01460652024373279,-0.6011941813014454,0.015691052912192485
122,15,18,48,-0.03490621951813476,-7.570060173702942,0.001218444161048212,True,False,True,False,False,False,False,0.057398227013993615,-9.47095652883318,0.003294556464349946,1.9008963551302376,-0.09230444653212838
123,15,18,49,0.03698914132469612,-9.269419556431341,0.0013681965759383423,True,False,True,False,False,False,False,-0.060492013816806,-7.009445088646004,0.003659283735612648,-2.2599744677853373,0.09748115514150213
124,15,19,43,0.28622361206455804,-10.109829273582413,0.08192395610328261,True,False,True,False,False,False,False,0.02472497050036413,-16.773015011429433,0.0006113241662438765,6.663185737847019,0.2614986415641939
125,15,19,44,-0.0010467161904415914,-3.7222126538900344,1.0956147833325577e-06,True,False,True,False,False,False,False,-0.08006196067039381,-8.056139883078604,0.006409917546387685,4.3339272291885695,0.07901524447995222
126,15,19,45,0.30945828003465975,-1.8356414762919013,0.0957644270820099,True,False,True,False,False,False,False,0.20992163276828835,-15.52809844415297,0.044067091904104114,13.69245696786107,0.0995366472663714
