subject,phase,stimulus_set,source_vision_roi,target_imagery_roi,standard_rho,crossvalidated_rho,subject_p_greater,leave_target_min,leave_target_median,leave_target_max
3,validation,A,parietal,midparietal,0.15357142857142858,0.33928571428571425,0.3333333333333333,-0.07878787878787878,0.06666666666666665,0.5757575757575757
3,validation,A,parietal,parietal,0.3392857142857143,0.3107142857142856,0.14722222222222223,0.07878787878787878,0.303030303030303,0.6727272727272726
3,validation,A,parietal,visual_streams,0.6607142857142857,0.5,0.008333333333333333,0.4424242424242424,0.5939393939393939,0.8181818181818182
3,validation,A,parietal,dorsal_parietal,0.3607142857142857,0.4035714285714285,0.12777777777777777,0.16363636363636364,0.32121212121212117,0.6242424242424242
3,validation,A,visual_streams,early,0.49642857142857144,0.5678571428571427,0.04583333333333333,0.06666666666666665,0.5636363636363635,0.6363636363636362
3,validation,A,visual_streams,ventral,0.5464285714285714,0.12142857142857141,0.02638888888888889,0.38181818181818183,0.509090909090909,0.7818181818181817
3,validation,A,visual_streams,lateral,0.36428571428571427,0.16428571428571426,0.11527777777777778,0.16363636363636364,0.406060606060606,0.5515151515151515
3,validation,A,visual_streams,midparietal,0.42857142857142855,0.47857142857142854,0.07777777777777778,0.2121212121212121,0.33939393939393936,0.7333333333333332
3,validation,A,visual_streams,parietal,0.45,0.2785714285714285,0.05694444444444444,0.09090909090909088,0.44848484848484843,0.6727272727272726
3,validation,A,visual_streams,visual_streams,0.5142857142857142,0.27499999999999997,0.04722222222222222,0.32121212121212117,0.5272727272727272,0.6
3,validation,A,visual_streams,dorsal_parietal,0.525,0.41785714285714276,0.03194444444444444,0.17575757575757575,0.5272727272727272,0.7212121212121211
3,validation,A,dorsal_parietal,early,0.4,0.6464285714285712,0.11388888888888889,0.16363636363636364,0.3939393939393939,0.6121212121212121
3,validation,A,dorsal_parietal,ventral,0.4142857142857143,0.175,0.09305555555555556,0.10303030303030303,0.4121212121212121,0.7454545454545454
3,validation,A,dorsal_parietal,lateral,0.6428571428571429,0.23928571428571427,0.001388888888888889,0.3696969696969697,0.6424242424242423,0.8303030303030302
3,validation,A,dorsal_parietal,midparietal,0.28214285714285714,0.34642857142857136,0.20277777777777778,-0.0303030303030303,0.2545454545454545,0.5878787878787878
3,validation,A,dorsal_parietal,parietal,0.4392857142857143,0.2678571428571428,0.075,0.19999999999999998,0.4424242424242424,0.7212121212121211
3,validation,A,dorsal_parietal,visual_streams,0.7071428571428572,0.46071428571428563,0.004166666666666667,0.4787878787878787,0.6969696969696969,0.8909090909090909
3,validation,A,dorsal_parietal,dorsal_parietal,0.4607142857142857,0.36785714285714277,0.058333333333333334,0.28484848484848485,0.44848484848484843,0.709090909090909
3,validation,B,early,early,-0.39285714285714285,0.5499999999999999,0.9194444444444444,-0.7696969696969697,-0.4181818181818181,0.06666666666666665
3,validation,B,early,ventral,0.03214285714285714,-0.15,0.4652777777777778,-0.22424242424242422,-0.01818181818181818,0.29696969696969694
3,validation,B,early,lateral,-0.05357142857142857,-0.25,0.5819444444444445,-0.5030303030303029,-0.05454545454545454,0.32121212121212117
3,validation,B,early,midparietal,-0.11428571428571428,0.5285714285714286,0.65,-0.6242424242424242,0.01818181818181818,0.04242424242424241
3,validation,B,early,parietal,0.014285714285714285,-0.1857142857142857,0.4708333333333333,-0.17575757575757575,0.0303030303030303,0.22424242424242422
3,validation,B,early,visual_streams,-0.22142857142857142,-0.23571428571428568,0.7722222222222223,-0.8909090909090909,-0.1515151515151515,0.22424242424242422
3,validation,B,early,dorsal_parietal,0.10714285714285714,0.16428571428571426,0.35,-0.17575757575757575,0.11515151515151514,0.406060606060606
3,validation,B,ventral,early,-0.24642857142857144,0.6749999999999999,0.7875,-0.7696969696969697,-0.21212121212121213,0.18787878787878787
3,validation,B,ventral,ventral,-0.04642857142857143,-0.035714285714285705,0.6041666666666666,-0.309090909090909,-0.1515151515151515,0.34545454545454546
3,validation,B,ventral,lateral,0.20714285714285716,-0.12142857142857141,0.28055555555555556,-0.2727272727272727,0.24848484848484845,0.3939393939393939
3,validation,B,ventral,midparietal,-0.16071428571428573,0.4535714285714285,0.6763888888888889,-0.5636363636363636,-0.01818181818181818,0.01818181818181818
3,validation,B,ventral,parietal,0.1,-0.3142857142857143,0.3736111111111111,-0.04242424242424241,0.06060606060606061,0.38181818181818183
3,validation,B,ventral,visual_streams,-0.08214285714285714,-0.049999999999999996,0.5819444444444445,-0.7818181818181817,0.018181818181818174,0.29696969696969694
3,validation,B,ventral,dorsal_parietal,-0.007142857142857143,-0.12857142857142856,0.5055555555555555,-0.23636363636363633,-0.024242424242424235,0.2606060606060606
3,validation,B,lateral,early,0.07857142857142857,0.6357142857142856,0.4166666666666667,-0.3939393939393939,0.1515151515151515,0.33333333333333326
3,validation,B,lateral,ventral,-0.025,-0.27499999999999997,0.5902777777777778,-0.5272727272727272,0.030303030303030304,0.309090909090909
3,validation,B,lateral,lateral,0.4357142857142857,0.06071428571428571,0.1,0.006060606060606061,0.47272727272727266,0.6121212121212121
3,validation,B,lateral,midparietal,-0.11071428571428571,0.46071428571428563,0.6069444444444444,-0.5030303030303029,-0.1696969696969697,0.32121212121212117
3,validation,B,lateral,parietal,0.06785714285714285,-0.20357142857142854,0.4486111111111111,-0.33333333333333326,0.06666666666666667,0.5393939393939393
3,validation,B,lateral,visual_streams,0.15357142857142858,-0.1357142857142857,0.33194444444444443,-0.5151515151515151,0.2727272727272727,0.406060606060606
3,validation,B,lateral,dorsal_parietal,-0.02142857142857143,0.06428571428571428,0.5472222222222223,-0.5272727272727272,-0.006060606060606051,0.33333333333333326
3,validation,B,midparietal,early,-0.06785714285714285,0.5464285714285714,0.5833333333333334,-0.24848484848484845,-0.07272727272727272,0.23636363636363633
3,validation,B,midparietal,ventral,-0.28214285714285714,0.014285714285714282,0.8083333333333333,-0.5636363636363636,-0.3333333333333333,0.24848484848484845
3,validation,B,midparietal,lateral,0.3607142857142857,-0.2642857142857143,0.1375,0.2121212121212121,0.3878787878787878,0.43030303030303024
