subject,phase,stimulus_set,task,roi,rdm_reliability,reliability_method
7,validation,B,imagery,dorsal_parietal,-0.4035714285714285,independent imagery runs
8,validation,A,vision,early,0.15535714285714286,balanced random repeat halves
8,validation,A,imagery,early,0.07142857142857141,independent imagery runs
8,validation,B,vision,early,0.1464285714285714,balanced random repeat halves
8,validation,B,imagery,early,-0.18214285714285713,independent imagery runs
8,validation,A,vision,ventral,-0.06428571428571427,balanced random repeat halves
8,validation,A,imagery,ventral,0.05714285714285713,independent imagery runs
8,validation,B,vision,ventral,-0.06785714285714284,balanced random repeat halves
8,validation,B,imagery,ventral,-0.15,independent imagery runs
8,validation,A,vision,lateral,-0.008928571428571426,balanced random repeat halves
8,validation,A,imagery,lateral,-0.03214285714285714,independent imagery runs
8,validation,B,vision,lateral,0.0053571428571428555,balanced random repeat halves
8,validation,B,imagery,lateral,-0.4142857142857142,independent imagery runs
8,validation,A,vision,midparietal,0.08035714285714285,balanced random repeat halves
8,validation,A,imagery,midparietal,0.21428571428571427,independent imagery runs
8,validation,B,vision,midparietal,0.21964285714285708,balanced random repeat halves
8,validation,B,imagery,midparietal,-0.3142857142857143,independent imagery runs
8,validation,A,vision,parietal,0.07142857142857142,balanced random repeat halves
8,validation,A,imagery,parietal,0.1357142857142857,independent imagery runs
8,validation,B,vision,parietal,0.06785714285714284,balanced random repeat halves
8,validation,B,imagery,parietal,-0.11785714285714284,independent imagery runs
8,validation,A,vision,visual_streams,-0.03749999999999999,balanced random repeat halves
8,validation,A,imagery,visual_streams,-0.07142857142857141,independent imagery runs
8,validation,B,vision,visual_streams,-0.04642857142857142,balanced random repeat halves
8,validation,B,imagery,visual_streams,-0.3285714285714285,independent imagery runs
8,validation,A,vision,dorsal_parietal,0.008928571428571426,balanced random repeat halves
8,validation,A,imagery,dorsal_parietal,0.1928571428571428,independent imagery runs
8,validation,B,vision,dorsal_parietal,0.0035714285714285704,balanced random repeat halves
8,validation,B,imagery,dorsal_parietal,-0.32499999999999996,independent imagery runs
