subject,phase,stimulus_set,comparison,source_vision_roi,target_imagery_roi,standard_rho,crossvalidated_rho,subject_p_greater,leave_target_min,leave_target_median,leave_target_max
5,validation,A+B average,reverse_parietal_to_visual,,,0.36964285714285716,-0.07321428571428568,,,,
5,validation,A+B average,same_visual,,,0.5535714285714286,0.08035714285714285,,,,
5,validation,A+B average,within_parietal,,,0.1,-0.4035714285714286,,,,
6,validation,A+B average,cross_visual_to_parietal,,,0.5178571428571428,0.0035714285714285587,,,,
6,validation,A+B average,reverse_parietal_to_visual,,,0.36428571428571427,0.19642857142857137,,,,
6,validation,A+B average,same_visual,,,0.45178571428571423,0.20714285714285713,,,,
6,validation,A+B average,within_parietal,,,0.525,0.19107142857142853,,,,
7,validation,A+B average,cross_visual_to_parietal,,,0.125,-0.042857142857142844,,,,
7,validation,A+B average,reverse_parietal_to_visual,,,0.3642857142857143,-0.2089285714285714,,,,
7,validation,A+B average,same_visual,,,0.3482142857142857,-0.2839285714285714,,,,
7,validation,A+B average,within_parietal,,,0.28035714285714286,0.06964285714285715,,,,
8,validation,A+B average,cross_visual_to_parietal,,,0.22142857142857145,-0.13392857142857137,,,,
8,validation,A+B average,reverse_parietal_to_visual,,,0.32678571428571423,0.06071428571428571,,,,
8,validation,A+B average,same_visual,,,0.5303571428571429,-0.08035714285714282,,,,
8,validation,A+B average,within_parietal,,,0.1607142857142857,-0.12857142857142853,,,,
