subject,phase,roi,stimulus_set,task,feature_model,rsa_rho,p_greater,p_two_sided
7,heldout,nsdgeneral,B,imagery,HOG,-0.19642857142857142,0.9180555555555555,0.19305555555555556
7,heldout,nsdgeneral,B,imagery,CLIP,0.11428571428571428,0.2916666666666667,0.5652777777777778
7,heldout,early_visual,A,vision,HOG,0.4663724021672139,0.020833333333333332,0.05
7,heldout,early_visual,A,vision,CLIP,0.05357142857142857,0.41944444444444445,0.8180555555555555
7,heldout,early_visual,A,imagery,HOG,0.31390450145870163,0.12222222222222222,0.22916666666666666
7,heldout,early_visual,A,imagery,CLIP,0.16428571428571428,0.21944444444444444,0.43333333333333335
7,heldout,early_visual,B,vision,HOG,0.03214285714285714,0.4083333333333333,0.8541666666666666
7,heldout,early_visual,B,vision,CLIP,-0.4035714285714286,0.9805555555555555,0.043055555555555555
7,heldout,early_visual,B,imagery,HOG,-0.17142857142857143,0.8402777777777778,0.33055555555555555
7,heldout,early_visual,B,imagery,CLIP,-0.04285714285714286,0.5958333333333333,0.825
7,heldout,higher_visual,A,vision,HOG,0.0,0.4375,1.0
7,heldout,higher_visual,A,vision,CLIP,0.11785714285714285,0.25555555555555554,0.5402777777777777
7,heldout,higher_visual,A,imagery,HOG,0.07713082035842383,0.3680555555555556,0.7777777777777778
7,heldout,higher_visual,A,imagery,CLIP,0.025,0.42777777777777776,0.9277777777777778
7,heldout,higher_visual,B,vision,HOG,-0.1392857142857143,0.7361111111111112,0.5222222222222223
7,heldout,higher_visual,B,vision,CLIP,-0.26071428571428573,0.8708333333333333,0.25833333333333336
7,heldout,higher_visual,B,imagery,HOG,-0.05714285714285714,0.5972222222222222,0.7722222222222223
7,heldout,higher_visual,B,imagery,CLIP,-0.04642857142857143,0.5680555555555555,0.8527777777777777
8,heldout,nsdgeneral,A,vision,HOG,0.1327367606168224,0.3013888888888889,0.6111111111111112
8,heldout,nsdgeneral,A,vision,CLIP,0.175,0.16944444444444445,0.3333333333333333
8,heldout,nsdgeneral,A,imagery,HOG,0.052018460241727696,0.45694444444444443,0.8416666666666667
8,heldout,nsdgeneral,A,imagery,CLIP,0.32857142857142857,0.059722222222222225,0.11527777777777778
8,heldout,nsdgeneral,B,vision,HOG,0.2357142857142857,0.03194444444444444,0.06666666666666667
8,heldout,nsdgeneral,B,vision,CLIP,-0.1,0.7,0.5819444444444445
8,heldout,nsdgeneral,B,imagery,HOG,0.40714285714285714,0.04722222222222222,0.08611111111111111
8,heldout,nsdgeneral,B,imagery,CLIP,0.08571428571428572,0.36666666666666664,0.7319444444444444
8,heldout,early_visual,A,vision,HOG,0.11121188051679715,0.3597222222222222,0.6986111111111111
8,heldout,early_visual,A,vision,CLIP,0.03214285714285714,0.4527777777777778,0.8625
8,heldout,early_visual,A,imagery,HOG,-0.06995586032508208,0.6430555555555556,0.8027777777777778
8,heldout,early_visual,A,imagery,CLIP,0.3607142857142857,0.06527777777777778,0.11944444444444445
8,heldout,early_visual,B,vision,HOG,0.060714285714285714,0.3236111111111111,0.6625
8,heldout,early_visual,B,vision,CLIP,-0.19642857142857142,0.8625,0.3125
8,heldout,early_visual,B,imagery,HOG,0.12142857142857143,0.2972222222222222,0.5916666666666667
8,heldout,early_visual,B,imagery,CLIP,-0.1357142857142857,0.7166666666666667,0.5875
8,heldout,higher_visual,A,vision,HOG,0.1524679007085122,0.27361111111111114,0.5402777777777777
8,heldout,higher_visual,A,vision,CLIP,0.12142857142857143,0.24305555555555555,0.5111111111111111
8,heldout,higher_visual,A,imagery,HOG,0.010762440050012628,0.4638888888888889,0.9708333333333333
8,heldout,higher_visual,A,imagery,CLIP,0.20357142857142857,0.1388888888888889,0.2902777777777778
8,heldout,higher_visual,B,vision,HOG,0.16785714285714284,0.10416666666666667,0.21944444444444444
8,heldout,higher_visual,B,vision,CLIP,-0.075,0.6791666666666667,0.7
8,heldout,higher_visual,B,imagery,HOG,0.39285714285714285,0.006944444444444444,0.006944444444444444
8,heldout,higher_visual,B,imagery,CLIP,0.09642857142857143,0.32222222222222224,0.6305555555555555
